id,topic,language,created_at,source,status,input_text,contains_code,tags,safety_flag,quality_score
27,art,en,2025-06-23T10:21:41,import,draft,Q27 (en/art): field explain outline risk compose outline regulation normalize risk trend summarize analyze Include figure 875 and version 3.8..,0,"factual,long,short",1,58.36
28,technology,en,2025-10-17T11:58:41,user,draft,Q28 (en/technology): explain embedding prompt token predict impact prompt analyze dataset trend field index.,0,"short,summary",0,30.39
29,literature,en,2025-08-04T11:39:41,import,curated,Q29 (en/literature): design field index design query query compose index outline risk strategy risk explain design Include figure 255 and version 4.3..,0,explanatory,1,38.43
30,sports,it,2025-09-07T12:14:41,user,draft,Q30 (it/sports): normalize response normalize format analyze format response token impact query embedding Include figure 275 and version 2.9..,0,tabular,0,47.04
31,technology,it,2025-11-07T11:33:41,synthetic,curated,Q31 (it/technology): index query explain design index field compare embedding explain normalize pipeline.,0,"creative,factual,narrative",0,33.76
32,healthcare,en,2025-08-19T09:43:41,user,draft,Q32 (en/healthcare): prompt outline prompt compare compose design field policy strategy analyze evaluate format visualize.,0,creative,1,39.65
33,economics,en,2025-10-12T10:57:41,user,curated,Q33 (en/economics): compose cost policy predict evaluate index embedding analyze table analyze outline Include figure 686 and version 1.6..,0,long,1,48.77
34,geography,en,2025-11-08T11:00:41,user,draft,Q34 (en/geography): risk classify format benefit pipeline strategy index outline design normalize table embedding query index Include figure 830 and version 4.7..,0,"narrative,tabular",1,63.38
35,travel,en,2025-09-04T11:48:41,import,draft,Q35 (en/travel): policy format summarize explain visualize compose token explain analyze predict Include figure 936 and version 4.2..,0,"code,howto,math",1,43.67
36,history,it,2025-09-14T10:30:41,import,draft,Q36 (it/history): embedding format policy impact embedding embedding outline cost benefit dataset Include figure 24 and version 1.8..,0,"code,creative",1,34.53
37,art,en,2025-08-02T11:44:41,user,curated,Q37 (en/art): benefit prompt query format predict table classify strategy Include figure 267 and version 2.4..,0,"factual,howto,reasoning",0,45.58
38,science,en,2025-09-04T11:55:41,import,draft,Q38 (en/science): classify policy token index visualize predict impact classify normalize compare summarize.,0,"code,reasoning,short",1,37.75
39,finance,fr,2025-06-20T11:43:41,synthetic,curated,Q39 (fr/finance): predict policy summarize cost format risk explain compare trend prompt benefit design.,0,"howto,long",1,36.27
40,environment,en,2025-08-09T11:17:41,user,draft,Q40 (en/environment): classify compose table risk classify pipeline query token impact explain impact cost classify embedding.,0,"narrative,tabular",1,30.49
41,education,en,2025-05-28T09:25:41,import,draft,Q41 (en/education): evaluate benefit field classify pipeline embedding outline field dataset summarize Example: for(i=0;i<n;i++){ compute(); }.,1,"long,reasoning,summary",0,64.87
42,healthcare,en,2025-07-26T09:40:41,user,draft,Q42 (en/healthcare): visualize outline field prompt compose risk impact query design strategy regulation compare cost dataset.,0,"short,summary,tabular",1,35.87
43,healthcare,en,2025-08-16T09:55:41,user,draft,Q43 (en/healthcare): design prompt summarize embedding normalize analyze pipeline risk response dataset classify benefit pipeline pipeline.,0,"math,reasoning",1,43.16
44,science,en,2025-10-11T10:39:41,import,rejected,Q44 (en/science): explain strategy dataset regulation format impact index outline design.,0,"factual,long,narrative",1,24.67
45,science,en,2025-08-12T09:09:41,import,draft,Q45 (en/science): token pipeline field embedding query outline prompt query evaluate cost compare response format.,0,math,0,30.33
46,sports,es,2025-10-15T10:04:41,synthetic,curated,Q46 (es/sports): index query evaluate design cost regulation analyze risk evaluate format risk query field token.,0,"code,explanatory,howto",1,35.1
47,travel,en,2025-10-10T10:46:41,user,draft,Q47 (en/travel): index trend format compare explain format evaluate analyze risk analyze predict cost evaluate.,0,factual,1,36.06
48,sports,es,2025-06-14T13:26:41,import,curated,Q48 (es/sports): compare benefit compose field cost analyze outline query query field response design.,0,short,0,23.1
49,literature,fr,2025-06-08T09:59:41,user,curated,Q49 (fr/literature): prompt pipeline pipeline impact compare outline compare format cost policy regulation pipeline embedding Include figure 985 and version 1.6..,0,tabular,1,56.87
50,economics,it,2025-07-31T09:12:41,user,curated,Q50 (it/economics): trend response benefit trend explain compare classify explain benefit field.,0,"code,summary",0,22.24
51,science,de,2025-09-14T11:56:41,user,draft,Q51 (de/science): prompt impact impact pipeline predict cost regulation explain impact field summarize design design.,0,"code,factual",1,37.91
52,finance,fr,2025-07-14T10:31:41,import,draft,Q52 (fr/finance): cost field strategy strategy query normalize compare embedding policy cost regulation field compose trend Include figure 648 and version 3.8..,0,reasoning,1,57.4
53,healthcare,en,2025-06-11T09:49:41,synthetic,curated,Q53 (en/healthcare): table index predict impact evaluate predict dataset summarize Include figure 281 and version 3.0..,0,"howto,narrative",0,53.06
54,economics,en,2025-08-27T09:13:41,user,draft,Q54 (en/economics): strategy summarize field classify cost evaluate table pipeline query cost classify outline pipeline evaluate.,0,"long,reasoning",0,35.1
55,environment,es,2025-09-05T09:51:41,user,draft,Q55 (es/environment): format field dataset design query query explain query response summarize normalize policy risk cost.,0,factual,1,42.55
56,technology,en,2025-11-07T10:20:41,user,curated,Q56 (en/technology): policy cost normalize dataset strategy visualize classify compose risk.,0,"code,tabular",1,29.73
57,entertainment,en,2025-05-15T10:23:41,import,curated,Q57 (en/entertainment): explain benefit dataset table explain strategy table strategy.,0,factual,0,29.18
58,healthcare,es,2025-10-04T09:47:41,synthetic,draft,Q58 (es/healthcare): compare pipeline table table regulation embedding token field dataset regulation normalize.,0,"explanatory,long,tabular",1,21.09
59,economics,es,2025-07-02T09:36:41,import,draft,Q59 (es/economics): impact prompt explain table pipeline evaluate compose trend field dataset token design benefit.,0,"reasoning,summary",0,27.73
60,education,es,2025-10-15T10:21:41,user,draft,Q60 (es/education): explain impact benefit compose embedding evaluate policy prompt policy summarize policy compare Include figure 787 and version 2.4..,0,"creative,explanatory,short",1,55.89
61,food,en,2025-10-26T09:01:41,user,curated,Q61 (en/food): format strategy strategy impact impact impact format design Include figure 28 and version 5.8..,0,"code,factual,reasoning",0,38.46
62,sports,it,2025-08-12T09:19:41,user,draft,Q62 (it/sports): normalize normalize field format visualize format evaluate analyze.,0,summary,0,22.99
63,literature,it,2025-05-31T09:35:41,user,curated,Q63 (it/literature): prompt table compose regulation evaluate table compose token summarize visualize response trend dataset prompt Include figure 230 and version 2.5..,0,"explanatory,howto,long",1,57.43
64,sports,en,2025-11-09T11:45:41,user,draft,Q64 (en/sports): pipeline impact policy index risk normalize index index strategy cost format Include figure 82 and version 3.6..,0,"code,long",1,42.75
65,education,en,2025-07-22T09:04:41,user,curated,Q65 (en/education): cost analyze format explain index risk risk index.,0,"explanatory,long,summary",1,24.53
66,entertainment,en,2025-09-17T09:51:41,import,draft,Q66 (en/entertainment): benefit evaluate format query benefit benefit visualize compose Include figure 13 and version 3.5..,0,"code,explanatory,short",0,41.94
67,technology,fr,2025-07-30T09:33:41,user,rejected,Q67 (fr/technology): design benefit query design impact design cost dataset dataset summarize index classify impact.,0,"explanatory,math",0,23.06
68,finance,fr,2025-06-05T09:34:41,user,draft,Q68 (fr/finance): compose pipeline evaluate explain compose predict predict token Include figure 526 and version 1.1..,0,"howto,short",0,48.92
69,entertainment,en,2025-06-13T10:27:41,user,curated,Q69 (en/entertainment): format evaluate index explain compare predict compare visualize compose risk classify summarize summarize strategy Include figure 654 and version 2.1..,0,math,1,68.72
70,history,en,2025-06-02T10:33:41,import,curated,Q70 (en/history): explain benefit benefit summarize classify predict visualize compare visualize.,0,"creative,explanatory,howto",0,23.49
71,technology,it,2025-11-10T10:45:41,user,curated,Q71 (it/technology): compose benefit token prompt design risk visualize field explain Include figure 865 and version 5.6..,0,"code,creative,long",1,44.1
72,art,en,2025-08-11T09:49:41,synthetic,curated,Q72 (en/art): token analyze field impact dataset analyze token normalize evaluate format dataset cost visualize.,0,"creative,explanatory,math",0,27.36
73,finance,en,2025-07-27T10:06:41,user,draft,Q73 (en/finance): query visualize format field response response pipeline index normalize analyze impact outline impact pipeline.,0,"howto,narrative,short",0,40.74
74,travel,it,2025-05-28T09:04:41,import,curated,Q74 (it/travel): explain evaluate compose normalize strategy outline summarize token embedding visualize outline prompt token evaluate.,0,"explanatory,summary",0,40.27
75,food,es,2025-07-10T09:16:41,user,curated,Q75 (es/food): trend index embedding response analyze impact policy analyze evaluate dataset evaluate benefit compose regulation.,0,"factual,math,short",1,33.23
76,science,en,2025-06-08T10:41:41,import,draft,Q76 (en/science): compose embedding pipeline analyze response trend trend strategy Include figure 86 and version 3.3..,0,"creative,reasoning,summary",0,42.73
77,art,en,2025-08-31T09:43:41,user,curated,Q77 (en/art): field field compose embedding explain visualize dataset explain embedding query outline summarize.,0,tabular,0,28.87
78,healthcare,it,2025-09-19T10:47:41,synthetic,draft,Q78 (it/healthcare): visualize index regulation index regulation trend explain trend explain index risk.,0,"creative,math,summary",1,25.82
79,sports,en,2025-08-30T09:42:41,import,draft,Q79 (en/sports): impact format evaluate explain explain evaluate benefit table.,0,"creative,howto",0,19.36
80,history,en,2025-06-27T10:26:41,user,draft,Q80 (en/history): strategy impact format predict table field cost token trend analyze.,0,"creative,math,tabular",0,25.07
81,art,en,2025-08-04T10:28:41,import,draft,Q81 (en/art): response table response explain cost predict predict design evaluate risk impact format.,0,"creative,long,short",1,24.87
82,food,en,2025-08-25T09:55:41,synthetic,draft,Q82 (en/food): predict token response normalize token summarize visualize pipeline design strategy index Include figure 494 and version 1.4..,0,long,0,46.87
83,food,en,2025-09-06T12:28:41,synthetic,rejected,Q83 (en/food): table strategy format summarize response summarize outline prompt regulation benefit query prompt Include figure 224 and version 2.1..,0,long,1,51.42
84,history,en,2025-10-07T10:24:41,user,draft,Q84 (en/history): regulation token table evaluate pipeline pipeline explain token classify prompt response benefit index Include figure 849 and version 5.4..,0,"code,summary",1,49.42
85,economics,en,2025-10-10T12:05:41,import,draft,Q85 (en/economics): response classify visualize impact evaluate design prompt prompt predict.,0,"narrative,short,tabular",0,31.36
86,finance,en,2025-06-15T09:45:41,user,draft,Q86 (en/finance): embedding strategy format trend compose response dataset risk benefit Include figure 154 and version 4.5..,0,narrative,1,43.75
87,travel,fr,2025-08-15T09:11:41,user,draft,Q87 (fr/travel): format explain analyze query regulation query classify index visualize evaluate index Include figure 417 and version 1.3..,0,short,1,46.83
88,art,en,2025-11-07T15:56:41,synthetic,draft,Q88 (en/art): benefit field trend trend field impact regulation evaluate.,0,"creative,howto,short",1,16.65
89,environment,en,2025-07-13T10:39:41,user,draft,Q89 (en/environment): response normalize query cost risk dataset strategy compare risk risk normalize query summarize summarize Include figure 114 and version 1.4..,0,"narrative,reasoning",1,72.52
90,literature,en,2025-05-24T10:48:41,user,draft,Q90 (en/literature): token benefit query strategy impact embedding strategy trend Include figure 392 and version 4.0..,0,"code,creative,howto",0,29.84
91,geography,de,2025-07-01T09:22:41,synthetic,rejected,Q91 (de/geography): outline benefit predict visualize prompt normalize analyze compose benefit benefit prompt.,0,"narrative,reasoning,summary",0,26.26
92,finance,de,2025-08-02T09:58:41,user,curated,Q92 (de/finance): compare response embedding dataset dataset normalize visualize policy benefit predict outline impact Include figure 60 and version 5.2..,0,"explanatory,howto",1,60.4
93,education,it,2025-05-27T10:03:41,user,draft,Q93 (it/education): outline response predict pipeline response response design impact token prompt.,0,"code,creative,math",0,38.02
94,literature,es,2025-10-03T10:36:41,user,draft,Q94 (es/literature): classify trend benefit compose compose token analyze field impact.,0,"explanatory,narrative",0,35.05
95,healthcare,en,2025-05-31T11:42:41,import,draft,Q95 (en/healthcare): token compare response compare query policy regulation regulation trend response query summarize strategy response.,0,"factual,math,summary",1,37.77
96,science,en,2025-08-09T11:09:41,user,draft,Q96 (en/science): impact dataset embedding regulation response visualize compare index.,0,summary,1,19.07
97,science,en,2025-11-06T09:51:41,user,draft,Q97 (en/science): benefit cost embedding strategy regulation impact outline predict token Include figure 387 and version 3.9..,0,reasoning,1,36.29
98,sports,en,2025-05-31T09:08:41,import,draft,Q98 (en/sports): query evaluate regulation table explain impact cost table strategy classify index impact risk.,0,creative,1,19.7
99,travel,es,2025-06-07T12:29:41,user,draft,Q99 (es/travel): embedding policy outline dataset embedding cost outline compose compose analyze field.,0,math,1,17.73
100,education,en,2025-06-17T08:54:41,user,curated,Q100 (en/education): outline visualize embedding pipeline classify design field token evaluate predict index token.,0,"code,tabular",0,33.2
101,travel,es,2025-06-20T09:25:41,synthetic,curated,Q101 (es/travel): predict trend summarize policy pipeline evaluate classify outline policy classify impact Include figure 736 and version 4.9..,0,"code,narrative",1,66.33
102,food,en,2025-07-29T09:35:41,user,rejected,Q102 (en/food): normalize table trend embedding format compare outline analyze visualize outline explain embedding dataset.,0,"long,summary",0,34.03
103,food,it,2025-08-25T10:16:41,user,draft,Q103 (it/food): cost visualize impact response query risk summarize impact visualize strategy trend compose.,0,"howto,math",1,26.15
104,literature,en,2025-07-03T10:26:41,synthetic,curated,Q104 (en/literature): explain design prompt table explain pipeline index design impact index table cost query pipeline.,0,"explanatory,tabular",0,41.36
105,food,en,2025-07-06T10:05:41,import,draft,Q105 (en/food): visualize summarize response pipeline response classify prompt query prompt strategy index Include figure 951 and version 1.4..,0,"creative,explanatory,howto",0,58.62
106,education,es,2025-05-27T09:35:41,user,draft,Q106 (es/education): cost policy explain analyze visualize dataset normalize index policy policy predict benefit impact Include figure 317 and version 5.9..,0,math,1,49.0
107,sports,de,2025-10-22T09:21:41,user,curated,Q107 (de/sports): policy design field design query table strategy dataset table classify embedding summarize normalize.,0,"code,narrative",1,32.24
108,food,es,2025-09-02T09:02:41,synthetic,curated,Q108 (es/food): trend token token design embedding predict outline query risk design predict risk impact embedding.,0,tabular,1,31.86
109,sports,en,2025-05-26T09:27:41,user,draft,Q109 (en/sports): normalize prompt evaluate strategy explain cost regulation index Include figure 208 and version 4.6..,0,"code,long",1,36.9
110,healthcare,es,2025-07-06T09:26:41,user,draft,Q110 (es/healthcare): visualize summarize index embedding normalize response visualize outline classify classify visualize risk table.,0,"code,long,reasoning",1,43.16
111,art,fr,2025-06-19T09:17:41,import,draft,Q111 (fr/art): predict impact normalize compose token visualize impact field index predict response query pipeline Include figure 309 and version 5.1..,0,short,0,54.24
112,sports,it,2025-11-06T10:43:41,synthetic,draft,Q112 (it/sports): compose dataset token table compare prompt compare field outline format design classify classify Include figure 236 and version 3.4..,0,howto,0,44.09
113,healthcare,it,2025-09-03T08:54:41,import,curated,Q113 (it/healthcare): index analyze policy compose table dataset format query summarize compose.,0,summary,1,22.2
114,finance,en,2025-08-10T09:14:41,synthetic,draft,Q114 (en/finance): compare summarize outline compose explain normalize response explain design predict cost.,0,"long,summary",0,34.93
115,travel,en,2025-07-30T08:55:41,import,draft,Q115 (en/travel): trend token evaluate token token embedding format classify trend.,0,"narrative,short",0,21.0
116,technology,en,2025-10-29T09:14:41,synthetic,rejected,Q116 (en/technology): summarize cost policy token summarize trend summarize dataset classify token summarize classify policy Include figure 968 and version 5.7..,0,"creative,factual",1,61.2
117,finance,es,2025-08-23T13:43:41,import,draft,Q117 (es/finance): embedding prompt prompt summarize explain analyze pipeline dataset index response benefit design analyze Include figure 183 and version 1.0..,0,reasoning,0,50.25
118,healthcare,es,2025-11-07T09:20:41,user,draft,Q118 (es/healthcare): response dataset response token query regulation index pipeline.,0,narrative,1,30.97
119,geography,en,2025-08-08T10:59:41,user,curated,Q119 (en/geography): compose pipeline normalize index pipeline cost table predict field regulation table explain.,0,creative,1,40.41
120,healthcare,en,2025-10-04T11:04:41,import,draft,Q120 (en/healthcare): outline explain outline normalize compare explain evaluate dataset query.,0,math,0,25.92
121,technology,fr,2025-10-14T09:26:41,import,draft,Q121 (fr/technology): visualize pipeline pipeline trend classify index format policy field outline Include figure 650 and version 4.0..,0,"reasoning,short",1,47.54
122,travel,en,2025-10-11T09:00:41,user,curated,Q122 (en/travel): evaluate evaluate compose prompt analyze prompt policy classify table prompt embedding outline index query Include figure 74 and version 5.5..,0,reasoning,1,53.55
123,technology,es,2025-10-10T16:46:41,user,rejected,Q123 (es/technology): trend policy explain summarize pipeline analyze regulation trend Example: for(i=0;i<n;i++){ compute(); }.,1,"math,short,tabular",1,74.0
124,art,fr,2025-07-17T10:09:41,synthetic,draft,Q124 (fr/art): explain format prompt trend summarize dataset field impact token response compose cost.,0,short,0,19.06
125,geography,en,2025-08-26T09:06:41,user,draft,Q125 (en/geography): table visualize prompt benefit outline compose response regulation dataset dataset token query.,0,"howto,long",1,40.38
126,geography,de,2025-08-04T08:56:41,import,rejected,Q126 (de/geography): compose evaluate predict prompt embedding classify analyze prompt format trend Include figure 518 and version 2.0..,0,"code,creative",0,35.01
127,geography,es,2025-10-03T10:12:41,synthetic,curated,Q127 (es/geography): token summarize dataset outline analyze trend strategy query summarize prompt Include figure 337 and version 4.5..,0,"explanatory,howto,math",0,56.06
128,geography,en,2025-08-21T10:33:41,user,draft,Q128 (en/geography): compose embedding prompt format table evaluate compose visualize cost response.,0,"code,howto",0,30.05
129,literature,en,2025-10-02T12:57:41,user,draft,Q129 (en/literature): query design policy pipeline dataset field prompt query query normalize impact.,0,"long,summary",1,31.85
130,healthcare,en,2025-11-07T09:34:41,user,draft,Q130 (en/healthcare): summarize evaluate cost impact strategy table field regulation predict visualize evaluate pipeline dataset.,0,"explanatory,short,tabular",1,48.55
131,art,it,2025-10-01T10:09:41,user,draft,Q131 (it/art): outline dataset policy impact format trend explain compose.,0,creative,1,24.87
132,sports,en,2025-07-30T09:54:41,import,draft,Q132 (en/sports): outline compare strategy query pipeline normalize field benefit analyze visualize Include figure 270 and version 3.3..,0,"howto,reasoning",0,46.62
133,food,en,2025-09-03T09:17:41,user,draft,Q133 (en/food): trend trend summarize compare summarize prompt table cost dataset classify normalize table prompt.,0,"explanatory,narrative,reasoning",0,35.35
134,sports,fr,2025-09-27T11:45:41,user,draft,Q134 (fr/sports): policy field risk benefit outline dataset outline index.,0,math,1,15.77
135,literature,en,2025-09-12T10:19:41,import,rejected,Q135 (en/literature): classify evaluate index policy benefit dataset summarize cost cost design regulation prompt query.,0,"howto,narrative",1,49.51
136,environment,en,2025-09-24T09:22:41,synthetic,rejected,Q136 (en/environment): prompt dataset strategy token normalize prompt strategy impact compare token Include figure 132 and version 1.3..,0,"creative,factual,howto",0,55.47
137,history,en,2025-07-21T09:17:41,synthetic,draft,Q137 (en/history): design outline predict strategy explain regulation visualize benefit strategy regulation query.,0,howto,1,33.11
138,entertainment,en,2025-07-24T10:59:41,user,curated,Q138 (en/entertainment): predict format evaluate normalize outline classify token compose benefit regulation compare strategy Include figure 387 and version 3.2..,0,"code,long,tabular",1,57.35
139,finance,en,2025-09-08T10:27:41,synthetic,draft,Q139 (en/finance): explain explain predict benefit cost trend risk design.,0,"explanatory,long,narrative",1,17.79
140,environment,en,2025-06-10T09:45:41,synthetic,draft,Q140 (en/environment): design table table trend response field dataset evaluate compare outline dataset.,0,"math,summary",0,33.62
141,healthcare,en,2025-09-08T09:35:41,user,draft,Q141 (en/healthcare): regulation explain predict index compose impact query cost explain dataset.,0,reasoning,1,31.77
142,geography,de,2025-07-07T09:27:41,import,draft,Q142 (de/geography): embedding trend cost trend index dataset field token analyze regulation.,0,explanatory,1,28.4
143,travel,es,2025-08-06T09:35:41,user,draft,Q143 (es/travel): classify regulation token impact outline strategy summarize trend.,0,creative,1,24.94
144,entertainment,fr,2025-07-15T09:21:41,user,draft,Q144 (fr/entertainment): regulation visualize outline response token regulation design response query summarize classify explain analyze.,0,short,1,39.36
145,literature,en,2025-10-04T09:24:41,user,draft,Q145 (en/literature): analyze evaluate summarize regulation embedding format compose compare pipeline prompt query format normalize summarize.,0,"creative,tabular",1,41.46
146,education,de,2025-08-16T09:29:41,user,draft,Q146 (de/education): response predict table design evaluate regulation response regulation summarize design query embedding benefit design.,0,"explanatory,tabular",1,42.41
147,geography,en,2025-07-23T11:00:41,user,draft,Q147 (en/geography): embedding dataset pipeline regulation query embedding field table risk dataset table explain.,0,"reasoning,summary",1,26.37
148,travel,en,2025-09-22T09:07:41,import,rejected,Q148 (en/travel): index embedding explain cost pipeline classify token field pipeline pipeline policy design prompt Include figure 366 and version 3.2..,0,code,1,45.64
149,science,en,2025-06-21T11:23:41,synthetic,draft,Q149 (en/science): classify prompt table risk compose dataset trend embedding token outline.,0,"long,math",1,23.49
150,geography,en,2025-08-12T09:36:41,user,curated,Q150 (en/geography): policy design dataset impact strategy classify visualize dataset compose.,0,"howto,summary",1,30.36
151,technology,en,2025-06-17T09:45:41,import,curated,Q151 (en/technology): classify benefit summarize dataset compose pipeline outline dataset visualize compare Example: for(i=0;i<n;i++){ compute(); }.,1,"factual,math,summary",0,83.33
152,art,en,2025-08-07T09:56:41,import,curated,Q152 (en/art): index classify field cost evaluate dataset strategy summarize risk evaluate.,0,"long,short,summary",1,30.83
153,sports,it,2025-06-07T11:03:41,user,draft,Q153 (it/sports): regulation visualize visualize response policy format analyze predict benefit predict strategy.,0,reasoning,1,25.74
154,travel,fr,2025-10-08T09:59:41,user,draft,Q154 (fr/travel): index analyze field classify format predict format embedding format prompt.,0,"code,creative,summary",0,20.67
155,finance,en,2025-08-14T09:20:41,import,draft,Q155 (en/finance): benefit compare explain compose explain risk evaluate benefit dataset evaluate policy embedding table dataset.,0,"summary,tabular",1,45.44
156,environment,es,2025-09-06T10:03:41,import,draft,Q156 (es/environment): policy dataset evaluate normalize strategy explain visualize index summarize trend impact.,0,"explanatory,short",1,34.02
157,technology,it,2025-10-02T09:08:41,user,draft,Q157 (it/technology): regulation predict embedding design prompt predict analyze token risk Example: for(i=0;i<n;i++){ compute(); }.,1,"code,creative,explanatory",1,53.97
158,food,en,2025-10-02T10:15:41,user,curated,Q158 (en/food): embedding response prompt normalize benefit field evaluate predict summarize predict.,0,summary,0,33.23
159,geography,it,2025-09-07T11:25:41,user,draft,Q159 (it/geography): cost cost summarize benefit policy field cost pipeline regulation regulation cost policy.,0,"factual,summary",1,39.97
160,geography,it,2025-09-02T09:22:41,user,curated,Q160 (it/geography): explain pipeline compose normalize table table risk explain summarize strategy compare query Include figure 954 and version 3.8..,0,"code,short",1,55.08
161,healthcare,en,2025-05-26T10:42:41,import,curated,Q161 (en/healthcare): classify outline table token compare classify embedding classify regulation cost explain strategy.,0,"explanatory,reasoning,tabular",1,31.04
162,finance,en,2025-11-04T09:21:41,synthetic,curated,Q162 (en/finance): pipeline cost policy classify normalize table summarize compose query Include figure 916 and version 4.4..,0,"reasoning,summary",1,53.41
163,geography,en,2025-08-09T10:35:41,import,curated,Q163 (en/geography): strategy field summarize strategy table compose format table compose cost field format dataset.,0,"howto,long,narrative",0,38.17
164,history,es,2025-09-09T10:37:41,user,curated,Q164 (es/history): token query compose design summarize query field impact risk outline format.,0,"explanatory,math",1,36.98
165,education,es,2025-06-07T09:20:41,user,rejected,Q165 (es/education): outline token strategy embedding policy explain table query policy format query table Include figure 528 and version 2.5..,0,explanatory,1,45.12
166,technology,en,2025-09-10T10:23:41,user,draft,Q166 (en/technology): dataset strategy strategy benefit policy field strategy visualize strategy visualize visualize Include figure 345 and version 4.2..,0,"code,explanatory",1,48.07
167,geography,es,2025-09-10T09:15:41,user,draft,Q167 (es/geography): summarize format compare explain embedding explain compose evaluate regulation.,0,"math,tabular",1,26.75
168,environment,it,2025-06-20T09:59:41,import,curated,Q168 (it/environment): explain impact index field strategy compare risk explain dataset Include figure 558 and version 4.5..,0,factual,1,52.54
